# time template
7.055664062500000000e-02 -1.644948095350843442e-19
7.080078125000000000e-02 -1.617277715269932944e-19
7.104492187500000000e-02 -1.588716234518405287e-19
7.128906250000000000e-02 -1.559279084448461723e-19
7.153320312500000000e-02 -1.528982183061373286e-19
7.177734375000000000e-02 -1.497841926949977319e-19
7.202148437500000000e-02 -1.465875179772644213e-19
7.226562500000000000e-02 -1.433099268380120114e-19
7.250976562500000000e-02 -1.399531968550625315e-19
7.275390625000000000e-02 -1.365191497443409777e-19
7.299804687500000000e-02 -1.330096504131757578e-19
7.324218750000000000e-02 -1.294266059352340820e-19
7.348632812500000000e-02 -1.257719646107160093e-19
7.373046875000000000e-02 -1.220477145475820434e-19
7.397460937500000000e-02 -1.182558831589722034e-19
7.421875000000000000e-02 -1.143985356663965037e-19
7.446289062500000000e-02 -1.104777740426051270e-19
7.470703125000000000e-02 -1.064957360297477743e-19
7.495117187500000000e-02 -1.024545937703741991e-19
7.519531250000000000e-02 -9.835655280886349711e-20
7.543945312500000000e-02 -9.420385082055675347e-20
7.568359375000000000e-02 -8.999875644490848052e-20
7.592773437500000000e-02 -8.574356794428927486e-20
7.617187500000000000e-02 -8.144061206501163624e-20
7.641601562500000000e-02 -7.709224275182054000e-20
7.666015625000000000e-02 -7.270083982725757506e-20
7.690429687500000000e-02 -6.826880772224841472e-20
7.714843750000000000e-02 -6.379857418016213122e-20
7.739257812500000000e-02 -5.929258889166112231e-20
7.763671875000000000e-02 -5.475332222678589634e-20
7.788085937500000000e-02 -5.018326378947695252e-20
7.812500000000000000e-02 -4.558492116413708230e-20
7.836914062500000000e-02 -4.096081843851103320e-20
7.861328125000000000e-02 -3.631349493985703289e-20
7.885742187500000000e-02 -3.164550369997397312e-20
7.910156250000000000e-02 -2.695941022714431695e-20
7.934570312500000000e-02 -2.225779094006904857e-20
7.958984375000000000e-02 -1.754323185205979570e-20
7.983398437500000000e-02 -1.281832712427535923e-20
8.007812500000000000e-02 -8.085677635466896167e-21
8.032226562500000000e-02 -3.347889563914400058e-21
8.056640625000000000e-02 1.392427061949100498e-21
8.081054687500000000e-02 6.132659785842254993e-21
8.105468750000000000e-02 1.087019516097923387e-20
8.129882812500000000e-02 1.560242020983111834e-20
8.154296875000000000e-02 2.032672385008739438e-20
8.178710937500000000e-02 2.504049831545104902e-20
8.203125000000000000e-02 2.974114066455543965e-20
8.227539062500000000e-02 3.442605411386830420e-20
8.251953125000000000e-02 3.909264957385661956e-20
8.276367187500000000e-02 4.373834699367063902e-20
8.300781250000000000e-02 4.836057687650775034e-20
8.325195312500000000e-02 5.295678165812773865e-20
8.349609375000000000e-02 5.752441708510642371e-20
8.374023437500000000e-02 6.206095371410024835e-20
8.398437500000000000e-02 6.656387823346773509e-20
8.422851562500000000e-02 7.103069494281284685e-20
8.447265625000000000e-02 7.545892701809301453e-20
8.471679687500000000e-02 7.984611801767089519e-20
8.496093750000000000e-02 8.418983321546646749e-20
8.520507812500000000e-02 8.848766089596825141e-20
8.544921875000000000e-02 9.273721370086868277e-20
8.569335937500000000e-02 9.693613009707873090e-20
8.593750000000000000e-02 1.010820755309062976e-19
8.618164062500000000e-02 1.051727437957973884e-19
8.642578125000000000e-02 1.092058584217373757e-19
8.666992187500000000e-02 1.131791737109603549e-19
8.691406250000000000e-02 1.170904762635437231e-19
8.715820312500000000e-02 1.209375859362669481e-19
8.740234375000000000e-02 1.247183574088512615e-19
8.764648437500000000e-02 1.284306810683978228e-19
8.789062500000000000e-02 1.320724844458663531e-19
8.813476562500000000e-02 1.356417330824880879e-19
8.837890625000000000e-02 1.391364320185972054e-19
8.862304687500000000e-02 1.425546266639870000e-19
8.886718750000000000e-02 1.458944041343353489e-19
8.911132812500000000e-02 1.491538939548666165e-19
8.935546875000000000e-02 1.523312695907412336e-19
8.959960937500000000e-02 1.554247491649353227e-19
8.984375000000000000e-02 1.584325964154035894e-19
9.008789062500000000e-02 1.613531220507172160e-19
9.033203125000000000e-02 1.641846842453987912e-19
9.057617187500000000e-02 1.669256899554563958e-19
9.082031250000000000e-02 1.695745956170822179e-19
9.106445312500000000e-02 1.721299080793894526e-19
9.130859375000000000e-02 1.745901854856025540e-19
9.155273437500000000e-02 1.769540380403157539e-19
9.179687500000000000e-02 1.792201288157938173e-19
9.204101562500000000e-02 1.813871747140126156e-19
9.228515625000000000e-02 1.834539468162746341e-19
9.252929687500000000e-02 1.854192714792965090e-19
9.277343750000000000e-02 1.872820308898491423e-19
9.301757812500000000e-02 1.890411634250907439e-19
9.326171875000000000e-02 1.906956647973832855e-19
9.350585937500000000e-02 1.922445882376658755e-19
9.375000000000000000e-02 1.936870451391882247e-19
9.399414062500000000e-02 1.950222058824559432e-19
9.423828125000000000e-02 1.962492996583683973e-19
9.448242187500000000e-02 1.973676156609324871e-19
9.472656250000000000e-02 1.983765031281664617e-19
9.497070312500000000e-02 1.992753717497003136e-19
9.521484375000000000e-02 2.000636919983552893e-19
9.545898437500000000e-02 2.007409957366578922e-19
9.570312500000000000e-02 2.013068762058997332e-19
9.594726562500000000e-02 2.017609881678294248e-19
9.619140625000000000e-02 2.021030487086747440e-19
9.643554687500000000e-02 2.023328368950517272e-19
9.667968750000000000e-02 2.024501940924148511e-19
9.692382812500000000e-02 2.024550241243123728e-19
9.716796875000000000e-02 2.023472933387500236e-19
9.741210937500000000e-02 2.021270304550762320e-19
9.765625000000000000e-02 2.017943272357106182e-19
9.790039062500000000e-02 2.013493374858219030e-19
9.814453125000000000e-02 2.007922779547790625e-19
